STN,YYYY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
260,1971,23.0,38.0,27.0,81.0,137.0,139.0,172.0,171.0,133.0,105.0,57.0,54.0,95.0
260,1972,5.0,36.0,62.0,77.0,118.0,134.0,172.0,155.0,119.0,90.0,60.0,33.0,88.0
260,1973,29.0,29.0,53.0,61.0,120.0,160.0,170.0,177.0,149.0,87.0,51.0,27.0,93.0
260,1974,52.0,46.0,56.0,91.0,116.0,148.0,154.0,164.0,127.0,70.0,65.0,73.0,97.0
260,1975,62.0,31.0,47.0,75.0,111.0,151.0,178.0,199.0,152.0,85.0,52.0,35.0,98.0
260,1976,42.0,29.0,30.0,75.0,133.0,180.0,193.0,180.0,138.0,112.0,69.0,17.0,100.0
260,1977,30.0,49.0,71.0,67.0,119.0,146.0,170.0,161.0,134.0,115.0,68.0,50.0,98.0
260,1978,30.0,11.0,66.0,69.0,121.0,150.0,154.0,153.0,137.0,109.0,63.0,18.0,90.0
260,1979,-32.0,-9.0,47.0,78.0,115.0,149.0,159.0,156.0,139.0,109.0,56.0,54.0,85.0
260,1980,2.0,48.0,47.0,80.0,123.0,150.0,158.0,170.0,153.0,94.0,49.0,36.0,93.0
260,1981,27.0,15.0,81.0,83.0,133.0,144.0,163.0,167.0,147.0,85.0,67.0,-7.0,92.0
260,1982,11.0,28.0,52.0,76.0,129.0,166.0,189.0,172.0,156.0,111.0,82.0,34.0,101.0
260,1983,62.0,9.0,57.0,85.0,106.0,164.0,201.0,181.0,142.0,104.0,61.0,38.0,101.0
260,1984,34.0,20.0,40.0,79.0,106.0,138.0,159.0,181.0,135.0,117.0,82.0,43.0,95.0
260,1985,-30.0,-6.0,41.0,85.0,132.0,137.0,174.0,159.0,144.0,103.0,26.0,57.0,85.0
260,1986,24.0,-36.0,42.0,62.0,133.0,164.0,172.0,156.0,116.0,114.0,79.0,51.0,90.0
260,1987,-27.0,21.0,23.0,107.0,102.0,138.0,168.0,162.0,148.0,108.0,68.0,44.0,89.0
260,1988,59.0,46.0,51.0,87.0,144.0,148.0,160.0,166.0,140.0,109.0,61.0,70.0,103.0
260,1989,45.0,53.0,82.0,69.0,146.0,157.0,181.0,172.0,156.0,124.0,56.0,48.0,107.0
260,1990,57.0,76.0,85.0,89.0,139.0,150.0,169.0,185.0,131.0,120.0,62.0,42.0,109.0
260,1991,32.0,-8.0,88.0,85.0,100.0,127.0,190.0,180.0,150.0,102.0,53.0,39.0,95.0
260,1992,27.0,49.0,69.0,87.0,156.0,172.0,183.0,178.0,146.0,80.0,80.0,37.0,105.0
260,1993,51.0,24.0,58.0,111.0,143.0,159.0,161.0,152.0,131.0,90.0,22.0,51.0,96.0
260,1994,52.0,15.0,73.0,82.0,124.0,150.0,214.0,176.0,136.0,94.0,102.0,53.0,106.0
260,1995,38.0,67.0,55.0,92.0,128.0,147.0,201.0,197.0,142.0,127.0,68.0,-9.0,104.0
260,1996,-1.0,6.0,32.0,94.0,107.0,157.0,163.0,173.0,125.0,108.0,59.0,6.0,86.0
260,1997,-12.0,62.0,80.0,78.0,128.0,160.0,174.0,205.0,143.0,97.0,67.0,50.0,103.0
260,1998,47.0,64.0,76.0,94.0,149.0,158.0,163.0,165.0,150.0,99.0,37.0,46.0,104.0
260,1999,52.0,31.0,73.0,98.0,142.0,150.0,191.0,175.0,174.0,106.0,67.0,48.0,109.0
260,2000,43.0,59.0,68.0,100.0,147.0,160.0,155.0,174.0,158.0,113.0,78.0,51.0,109.0
260,2001,26.0,45.0,49.0,83.0,141.0,152.0,185.0,185.0,134.0,142.0,71.0,29.0,104.0
260,2002,44.0,71.0,72.0,93.0,134.0,165.0,176.0,186.0,146.0,95.0,79.0,29.0,108.0
260,2003,25.0,18.0,73.0,99.0,132.0,178.0,188.0,193.0,139.0,75.0,80.0,40.0,103.0
260,2004,36.0,48.0,59.0,104.0,123.0,155.0,167.0,188.0,152.0,113.0,63.0,32.0,103.0
260,2005,53.0,24.0,65.0,104.0,126.0,168.0,177.0,162.0,157.0,133.0,69.0,40.0,107.0
260,2006,15.0,29.0,39.0,90.0,145.0,167.0,223.0,164.0,179.0,136.0,92.0,65.0,112.0
260,2007,71.0,60.0,80.0,131.0,141.0,175.0,170.0,171.0,138.0,101.0,69.0,38.0,112.0
260,2008,65.0,51.0,59.0,89.0,157.0,165.0,181.0,174.0,136.0,101.0,69.0,24.0,106.0
260,2009,8.0,33.0,63.0,122.0,139.0,156.0,181.0,185.0,150.0,107.0,95.0,22.0,105.0
260,2010,-5.0,16.0,64.0,97.0,105.0,164.0,199.0,168.0,136.0,104.0,58.0,-11.0,91.0
260,2011,35.0,46.0,60.0,131.0,140.0,161.0,159.0,169.0,156.0,114.0,72.0,65.0,109.0
260,2012,49.0,8.0,83.0,84.0,145.0,149.0,173.0,185.0,142.0,105.0,68.0,50.0,103.0
